rank,company,revenues,revenue_percent_change,profits,profits_percent_change,assets,market_value,change_in_rank_1000,employees,change_in_rank_500,link,
439,Veritiv,"$6,345.6",-17.20%,$34.2,-,"$2,335",$679.5,-27,"6,400",-27,399,View More details about Veritiv
440,Rockwell Automation,"$6,329.8",-5.50%,"$1,023.4",47.10%,"$7,264.7","$30,832.2",12,"23,500",12,223,View More details about Rockwell Automation
441,MasTec,"$6,321",-12%,$322.8,-17.70%,"$5,227.8","$6,953.4",-11,"18,000",-11,322,View More details about MasTec
442,DCP Midstream,"$6,302",-17.40%,$-306,-1900%,"$12,957","$4,513.1",-29,"1,837",-29,-,View More details about DCP Midstream
443,Northern Trust,"$6,301.1",-8.60%,"$1,209.3",-19%,"$170,003.9","$21,854.2",-3,"20,900",-3,201,View More details about Northern Trust
444,M&T Bank,"$6,281.2",-9.50%,"$1,353.2",-29.90%,"$142,601.1","$19,502.2",-6,"17,046",-6,252,View More details about M&T Bank
445,Anywhere Real Estate,"$6,221",6%,$-360,-,"$6,934","$1,767.4",45,"9,335",45,386,View More details about Anywhere Real Estate
446,NCR Voyix,"$6,207",-10.20%,$-79,-114%,"$8,414","$4,943.2",-7,"36,000",-7,343,View More details about NCR Voyix
447,T. Rowe Price,"$6,206.7",10.50%,"$2,372.7",11.30%,"$10,659","$39,031",57,"7,678",-,119,View More details about T. Rowe Price
448,Vertex Pharmaceuticals,"$6,205.7",49.10%,"$2,711.6",130.40%,"$11,751.8","$55,862.8",178,"3,400",-,98,View More details about Vertex Pharmaceuticals
449,Big Lots,"$6,199.2",16.50%,$629.2,159.50%,"$4,037.3","$2,394.3",77,"23,900",-,399,View More details about Big Lots
450,Ralph Lauren,"$6,159.8",-2.40%,$384.3,-10.80%,"$7,279.9","$9,005.3",19,"19,300",19,87,View More details about Ralph Lauren
451,Ulta Beauty,"$6,152",-16.80%,$175.8,-75.10%,"$5,090","$17,377.1",-33,"26,500",-33,399,View More details about Ulta Beauty
452,Taylor Morrison Home,"$6,129.3",28.70%,$243.4,-4.40%,"$7,738","$3,969.2",115,"2,700",-,291,View More details about Taylor Morrison Home
453,Icahn Enterprises,"$6,123",-31.90%,"$-1,653",-,"$24,987","$12,964.7",-101,"23,833",-101,-,View More details about Icahn Enterprises
454,Blackstone,"$6,101.9",-16.80%,"$1,045.4",-49%,"$26,269.3","$50,966.6",-34,"3,165",-34,243,View More details about Blackstone
455,O-I Glass,"$6,091",-9%,$249,-,"$8,882","$2,327.1",-2,"25,000",-2,-,View More details about O-I Glass
456,Fortune Brands Innovations,"$6,090.3",5.70%,$553.1,28.10%,"$7,358.7","$13,264.2",38,"27,505",38,336,View More details about Fortune Brands Innovations
457,NOV,"$6,090",-28.20%,"$-2,542",-,"$9,929","$5,326.3",-83,"27,631",-83,454,View More details about NOV
458,Ovintiv,"$6,087",-9.50%,"$-6,097",-2705.60%,"$14,469","$6,219.6",-9,"1,916",-9,339,View More details about Ovintiv
459,Alexion Pharmaceuticals,"$6,069.9",21.60%,$603.4,-74.90%,"$18,103","$33,596.1",88,"3,837",-,329,View More details about Alexion Pharmaceuticals
460,Huntsman,"$6,025",-27.80%,"$1,034",84%,"$8,713","$6,390.1",-78,"9,000",-78,383,View More details about Huntsman
461,Equinix,"$5,998.5",7.80%,$369.8,-27.10%,"$27,006.8","$60,679.1",48,"10,013",-,319,View More details about Equinix
462,ABM Industries,"$5,987.6",-7.90%,$0.3,-99.80%,"$3,776.9","$3,422.2",-,"114,000",-,85,View More details about ABM Industries
463,Ingredion,"$5,987",-3.60%,$348,-15.70%,"$6,858","$6,034.6",12,"12,000",12,261,View More details about Ingredion
464,Chipotle Mexican Grill,"$5,984.6",7.10%,$355.8,1.60%,"$5,982.9","$39,987.7",42,"88,000",-,399,View More details about Chipotle Mexican Grill
465,Sinclair,"$5,943",40.20%,"$-2,414",-5236.20%,"$13,382","$2,167",157,"11,600",-,454,View More details about Sinclair
466,LPL Financial Holdings,"$5,871.6",4.40%,$472.6,-15.60%,"$6,523.6","$11,358.6",37,"4,756",-,109,View More details about LPL Financial Holdings
467,Crown Castle,"$5,840",1.30%,"$1,056",22.80%,"$38,768","$74,392.4",29,"4,900",29,391,View More details about Crown Castle
468,KLA,"$5,806.4",27.10%,"$1,216.8",3.50%,"$9,280","$50,906.3",120,"10,600",-,-,View More details about KLA
469,Ameren,"$5,794",-2%,$871,5.20%,"$32,030","$20,780.2",19,"9,183",19,286,View More details about Ameren
470,KBR,"$5,767",2.30%,$-72,-135.60%,"$5,705","$5,407",31,"29,000",-,343,View More details about KBR
471,Burlington Stores,"$5,764",-20.90%,$-216.5,-146.50%,"$6,781.1","$19,835.9",-47,"35,246",-47,221,View More details about Burlington Stores
472,Olin,"$5,758",-5.80%,$-969.9,-,"$8,270.9","$6,024.1",9,"8,000",9,253,View More details about Olin
473,CACI International,"$5,720",14.70%,$321.5,21%,"$5,542.5","$6,223.5",76,"22,900",-,399,View More details about CACI International
474,Post Holdings,"$5,698.7",0.30%,$0.8,-99.40%,"$12,146.7","$6,804.9",25,"10,200",25,255,View More details about Post Holdings
475,Academy Sports and Outdoors,"$5,689.2",17.80%,$308.8,157.20%,"$4,384.5","$2,459.2",-,"16,500",-,161,View More details about Academy Sports and Outdoors
476,Arconic,"$5,675",-,$-109,-,"$6,314","$2,792.7",-,"13,400",-,269,View More details about Arconic
477,Celanese,"$5,655",-10.20%,"$1,985",133%,"$10,909","$17,104.5",-7,"7,658",-7,316,View More details about Celanese
478,Yum Brands,"$5,652",1%,$904,-30.10%,"$5,852","$32,460",27,"38,000",-,116,View More details about Yum Brands
479,Fastenal,"$5,647.3",5.90%,$859.1,8.60%,"$3,964.7","$28,877.9",46,"20,365",-,399,View More details about Fastenal
480,Nasdaq,"$5,627",32%,$933,20.50%,"$17,979","$24,300.8",140,"4,830",-,95,View More details about Nasdaq
481,Analog Devices,"$5,603.1",-6.50%,"$1,220.8",-10.40%,"$21,468.6","$57,208",6,"15,900",6,144,View More details about Analog Devices
482,McCormick,"$5,601.3",4.70%,$747.4,6.40%,"$12,089.7","$23,808.9",41,"13,000",-,100,View More details about McCormick
483,Carvana,"$5,586.6",41.80%,$-171.1,-,"$3,034.5","$45,475.4",168,"10,400",-,343,View More details about Carvana
484,Franklin Resources,"$5,566.5",-3.60%,$798.9,-33.20%,"$20,220.9","$14,960",9,"11,800",9,118,View More details about Franklin Resources
485,Electronic Arts,"$5,537",11.90%,"$3,039",198.20%,"$11,112","$38,935.9",65,"9,800",-,307,View More details about Electronic Arts
486,MDU Resources Group,"$5,532.8",3.70%,$390.2,16.30%,"$8,053.4","$6,359.8",38,"12,994",-,397,View More details about MDU Resources Group
487,Select Medical Holdings,"$5,531.7",1.40%,$259,74.50%,"$7,655.4","$4,598",28,"42,350",-,399,View More details about Select Medical Holdings
488,Roper Technologies,"$5,527.1",3%,$949.7,-46.30%,"$24,024.8","$42,326.3",30,"18,400",-,399,View More details about Roper Technologies
489,RPM International,"$5,507",-1%,$304.4,14.20%,"$5,631","$11,949.9",19,"14,621",-,394,View More details about RPM International
490,Cerner,"$5,505.8",-3.30%,$780.1,47.30%,"$7,521.1","$22,016.4",8,"26,400",8,330,View More details about Cerner
491,Patterson,"$5,490",-1.50%,$-588.4,-803.60%,"$2,715.4","$3,087.5",16,"7,800",-,270,View More details about Patterson
492,Commercial Metals,"$5,476.5",-6%,$279.5,41.10%,"$4,081.7","$3,716.5",-1,"11,297",-1,399,View More details about Commercial Metals
493,Boise Cascade,"$5,474.8",17.90%,$175,116.20%,"$1,965.7","$2,353.1",86,"6,040",-,375,View More details about Boise Cascade
494,Hasbro,"$5,465.4",15.80%,$222.5,-57.20%,"$10,818.4","$13,202.2",80,"6,822",-,72,View More details about Hasbro
495,Gold.com,"$5,461.1",14.20%,$30.5,1271.20%,$758,$360.2,70,218,-,399,View More details about Gold.com
496,Camping World Holdings,"$5,446.6",11.30%,$122.3,-,"$3,256.4","$3,452.5",59,"11,427",-,399,View More details about Camping World Holdings
497,NetApp,"$5,412",-11.90%,$819,-29.90%,"$7,522","$16,176.4",-19,"10,800",-19,265,View More details about NetApp
498,Avis Budget Group,"$5,402",-41.10%,$-684,-326.50%,"$17,538","$5,067.6",-153,"17,500",-153,33,View More details about Avis Budget Group
499,R.R. Donnelley & Sons,"$5,398.8",-14%,$98.5,-,"$3,130.9",$289.9,-28,"33,000",-28,454,View More details about R.R. Donnelley & Sons
500,Moody's,"$5,371",11.20%,"$1,778",25%,"$12,409","$55,884.8",61,"11,490",-,110,View More details about Moody's
