year,company,company_alt_names,rank,CEO,CEO_alt_names,second_CEO,second_CEO_alt_names,third_CEO,third_CEO_alt_names,wiki_page_snapshot,wiki_page_live
2026,Cincinnati Financial,,348,Stephen M. Spray,,,,,,https://en.wikipedia.org/wiki/Cincinnati_Financial,https://en.wikipedia.org/wiki/Cincinnati_Financial
2026,Chewy,,349,Sumit Singh,,,,,,https://en.wikipedia.org/wiki/Chewy_(company),https://en.wikipedia.org/wiki/Chewy_(company)
2026,Community Health Systems,,350,Tim Hingtgen,,,,,,https://en.wikipedia.org/wiki/Community_Health_Systems,https://en.wikipedia.org/wiki/Community_Health_Systems
2026,Huntington Bancshares,,350,Stephen D. Steinour,Stephen Steinour,,,,,https://en.wikipedia.org/wiki/Huntington_Bancshares,https://en.wikipedia.org/wiki/Huntington_Bancshares
2026,Huntington Ingalls Industries,,352,Christopher D. Kastner,Christopher Kastner,,,,,https://en.wikipedia.org/wiki/Huntington_Ingalls_Industries,https://en.wikipedia.org/wiki/Huntington_Ingalls_Industries
2026,Wayfair,,353,Niraj Shah,Niraj S. Shah,,,,,https://en.wikipedia.org/wiki/Wayfair,https://en.wikipedia.org/wiki/Wayfair
2026,Lumen Technologies,,354,Kate Johnson,,,,,,https://en.wikipedia.org/wiki/Lumen_Technologies,https://en.wikipedia.org/wiki/Lumen_Technologies
2026,Ulta Beauty,,355,Kecia Steelman,,,,,,https://en.wikipedia.org/wiki/Ulta_Beauty,https://en.wikipedia.org/wiki/Ulta_Beauty
2026,Crown Holdings,,356,Timothy J. Donahue,Timothy Donahue,,,,,https://en.wikipedia.org/wiki/Crown_Holdings,https://en.wikipedia.org/wiki/Crown_Holdings
2026,Airbnb,,357,Brian Chesky,,,,,,https://en.wikipedia.org/wiki/Airbnb,https://en.wikipedia.org/wiki/Airbnb
2026,AES,,358,Andres Gluski,Andres R. Gluski,,,,,https://en.wikipedia.org/wiki/AES_Corporation,https://en.wikipedia.org/wiki/AES_Corporation
2026,Norfolk Southern,,359,Mark R. George,Mark George,,,,,https://en.wikipedia.org/wiki/Norfolk_Southern_Railway,https://en.wikipedia.org/wiki/Norfolk_Southern_Railway
